page,item_name,score,review
https://www.pcmag.com/categories/laptops/brands/apple?page=4,Apple MacBook Pro 13-inch (Retina Display) Review,4.5,The Apple MacBook Pro 13-inch (Retina Display) is the best way to carry the pixels of a large-screen monitor with you on the road. It's ideal for people who make their living with visuals.
https://www.pcmag.com/categories/laptops/brands/apple?page=4,Dell XPS 15 Review,4.5,"The Dell XPS 15 is unlike any other desktop replacement out there, thanks to its long list of firsts."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Dell Venue 8 Pro Review,4.0,"The Dell Venue 8 Pro is a Windows 8.1 entry-level tablet that certainly corrects the problems that can crop up when from using mobile tablets like the iPad or Google Nexus families. But is it a replacement for a Windows laptop PC? On that, we're not so sure."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,HP Envy TouchSmart 15t-j100 Quad Edition Review,3.5,The HP TouchSmart 15t-j100 Quad Edition gives you the power of a multimedia desktop in a semi-portable laptop. It's a good way to get your toes wet in the Windows 8.1 pool.
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Apple MacBook Pro 13-inch (2013) Review,4.5,"The Apple MacBook Pro 13-inch (2013) uses Intel's Haswell-based Core i5 processor to give power users a system that can last over 11 hours under continuous use and still process graphics and scientific tasks quickly. It's $500 less expensive than last year's model, yet more than earns its title as our latest Editors' Choice for high-end ultraportable laptops."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Asus Zenbook VX51VZ-XB71 Review,3.0,"The Asus Zenbook VX51VZ-XB71 is a power user system with a higher than 1080p HD resolution display, but a lack of touch support and lackluster battery life means that this laptop is more of a semi-portable all-in-one desktop."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Asus Transformer Book T100TA (64GB) Review,4.5,"For a sub-$400 price, the Asus Transformer Book T100TA is a fully functional Windows 8.1 hybrid tablet, and the natural successor to the netbook ideal from a few years ago. It gives you a bright, usable PC an affordable price. Plus it avoids all of the compatibility issues that plague tablets running mobile operating systems like iOS, Android, or Windows RT."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Apple MacBook Pro 15-inch (2013) Review,5.0,"With an updated Intel processor and speedier Flash Storage, the MacBook Pro 15-inch (2013) leapfrogs over the competition with workstation-class performance and a nine-hour battery life. It's our new Editors' Choice for high-end desktop replacement laptops."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Sony VAIO Flip 15 (SVF15N190X) Review,3.5,"The Sony VAIO Flip 15 supersizes the convertible laptop, with a large screen that can work in various poses. It's starting to approach the convertible sweet spot, but it needs a few more iterations to become lighter and easier to hold."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Gigabyte U2442T-CF1 Review,4.0,"The Gigabyte U2442T-CF1 has most of the features that a high-end power user wants, including multimedia and 3D benchmark performance, a 10-point touch screen, and comfortable keyboard and chassis. It's up to you to decide if the few tradeoffs are worth it, or relegate the system to also-ran status."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Acer Aspire S7-392-6411 Review,4.5,"If you're looking for a svelte laptop to show off, yet still be able to do real work in Windows 8,the Acer Aspire S7-392-6411 is the ultrabook you want at the top of the list. It's the current pinnacle of the ultrabook trend and shows the brilliance that the PC makers can return under Intel's increasingly stringent standards for ultrabooks."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Vizio 15.6-inch Thin + Light Touch (CT15T-B1) Review,3.5,"The Vizio 15.6-inch Thin + Light Touch (CT15T-B1) has long battery life, quad-core power, great design, and speedy, spacious SSD storage. Still, you'll need some hands-on time with this 15-inch laptop before you can decide it's the one for you."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Sony VAIO Pro 13  Review,4.0,"The Sony VAIO Pro 13 shows that you can make laptops lighter and thinner when you use a fourth-generation Intel Core processor. It's very good, though Sony really needs a grand slam to distance itself from similar rivals."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Apple MacBook Air 11-inch (Mid 2013) Review,4.0,"The Apple MacBook Air 11-inch (Mid 2013) is the Haswell updated version of the iconic ultraportable laptop. It lasts over 10 hours running on battery power, so it's a highly recommended choice if you must have the thinnest possible laptop with the most battery life."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Apple MacBook Air 13-inch (Mid 2013) Review,4.5,"Equipped with a fourth-generation Intel Core i5 processor, the latest MacBook Air 13-inch shows decent performance gains. But it's the ultraportable's over 15 hours of battery life that blows away the competition."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Toshiba Kirabook Review,3.5,"The Toshiba Kirabook ultrabook has a breathtaking screen. However, that screen doesn't necessarily justify the system's high price point."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Acer Aspire S7-191-6640 Review,4.0,The Acer Aspire S7-191-6640 is a road warrior's dream machine. It has full ultrabook power in a system that can actually be used on an airline tray table. In Coach.
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Dell XPS 13-MLK  Review,4.0,"The new Dell XPS 13-MLK ultrabook is made for ultimate portability. Its combination of multimedia prowess, a 1080p screen, and a compact chassis make it a great choice for the power user on the go."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,HP Spectre XT TouchSmart Ultrabook 15-4010nr Review,4.0,"If you share your household with Mac users, the HP Spectre XT TouchSmart 15-4010nr is a good buy if you absolutely need Windows 8 and need to trade files. It's a decent large-screen performance ultrabook made better with the addition of a Thunderbolt port."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Asus ZenBook UX51Vz-DH71 Review,4.0,"The Asus ZenBook UX51Vz-DH71 is a power users' ultraportable, with a quad-core CPU and high-end 3D graphics. Middling battery life and ""only"" a 1080p screen keep if from earning our top honors."
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Vizio 14-Inch Thin + Light (CT14-A4) Review,3.5,"The Windows 8 update of the Vizio 14-inch Thin + Light CT14-A4 ultrabook brings an improved trackpad and Microsoft's new operating system, but a couple of familiar nits still keep the CT14-A4 from jumping to the top of our leaderboard"
https://www.pcmag.com/categories/laptops/brands/apple?page=3,Asus VivoBook S400CA-UH51 Review,4.0,The Asus VivoBook S400CA-UH51 is one of the least expensive ways to get a fully functional Windows 8 ultrabook. It's a touch-screen ultrabook that gets the pricing and feature set right.
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Apple MacBook Pro 15-Inch With Retina Display (2015) Review,4.0,"The latest Apple MacBook Pro 15-inch with Retina display gets a Force Touch trackpad and better battery capacity than its predecessor, but it faces stiff competition."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Apple MacBook Air 11-Inch (2015) Review,4.0,"The latest MacBook Air 11-inch is Apple's smallest and least expensive laptop, with good performance and more than 11 hours of battery power."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Apple MacBook Air 13-Inch (2015) Review,4.0,The latest upgrade of the 13-inch Apple MacBook Air brings a more powerful Core i5 processor and an astounding 17.5 hours of battery life. It remains our top choice for ultraportable laptops.
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Apple MacBook (2015) Review,4.0,"The 12-inch Apple MacBook is the thinnest, lightest Mac laptop yet, combining the power of OS X with extreme portability and more than 14 hours of battery life."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,"Apple MacBook Pro 13-Inch, Retina Display (2015) Review",4.0,"Although the fifth-generation Intel Core i5 processor and Force Touch trackpad are minor updates, this year's 13-inch Retina Apple MacBook Pro is still an easy top pick for high-end ultraportables."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Apple MacBook Pro 15-Inch Retina Display (2014) Review,4.5,"Apple's latest 15-inch MacBook Pro represents a slight upgrade to the best system mobile Mac power users can buy. And while the Windows competition is breathing down its figurative neck, it's still our top choice for high-end desktop-replacement laptops."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,"Apple MacBook Pro 13-Inch, Retina Display (2014) Review",4.5,The latest 13-inch Retina Apple MacBook Pro gives you top-notch performance and more than 13 hours of battery life in a beautifully designed laptop. It's our top pick for high-end ultraportables.
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Dell Inspiron 14 (7437) Review,3.5,"The Dell Inspiron 14 (7437) is a midrange ultrabook that delivers almost nine hours of battery life and speedy performance. But it's a bit pricey compared with the competition, and it suffers from some minor design flaws."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,HP EliteBook 850 G1  Review,3.5,"The HP EliteBook 850 G1 fulfills the need for a large-screen business ultrabook. It's particularly IT-friendly, and that might tip the balance for companies that upgrade or service their laptops on a regular basis."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Apple MacBook Air 11-Inch (2014) Review,4.0,"The latest 11-inch Apple MacBook Air is an ultraportable laptop in the purest sense of the term. You sacrifice a little utility, but in return, you get a prime travel companion."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Toshiba Portege R30-A1302 Review,3.5,"The Toshiba Portege R30-A1302 ultraportable has a high-powered processor and speedy solid-state drive (SSD). It's not the most forward-looking system in the world, but its throwback features, such as a DVD drive and ExpressCard port, will keep veteran users happy."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Toshiba Tecra Z50-A1503 Review,3.5,The Toshiba Tecra Z50-A1503 has design flair with a slim chassis and an attractive metal exterior. It's a powerful business laptop at a premium price.
https://www.pcmag.com/categories/laptops/brands/apple?page=2,HP Elitebook Folio 1040 G1 Review,3.5,"The HP Elitebook Folio 1040 business ultrabook features forward-looking tech, like a pressure-sensitive trackpad, and eliminates bulky features, like dual pointing sticks and built-in Ethernet. Demanding, highly mobile sales/executive power users should take a look."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Sony VAIO Flip 11 Review,3.5,The Sony VAIO Flip 11 is a decent way to get an attractive convertible tablet with a brilliant screen for a nice price.
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Dell Latitude E7440 Touch Review,4.0,"The rugged Dell Latitude E7440 Touch business ultrabook offers a nice mix of premium features, good performance, excellent battery life, and compatibility with other E-series Latitude laptops in Dell's stable."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Toshiba CB35-A3120 Chromebook Review,4.0,"The Toshiba CB35-A3120 Chromebook can act as the primary computer of a home user or student, particularly if you have near-constant access to Wi-Fi. Close to the top choice, the 13-inch CB35-A3120 Chromebook comes highly recommended."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Dell XPS 11 Review,3.0,"The Dell XPS 11 convertible ultrabook/tablet comes with an incredibly high-resolution screen and a lovely carbon fiber chassis, but a couple of large flaws keep it from outrunning the pack."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Dell Latitude E5430 Review,3.5,"The Dell Latitude E5430 laptop is for veteran users who can't let go of VGA monitors, ExpressCards, and optical discs."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Dell Latitude E7240 Touch Review,3.5,"The Dell Latitude E7240 Touch is a compact sub-3.5 pound business ultrabook with a 1080p touch screen and MIL-SPEC certification. It's a good choice if you have a team testing whether Windows 8 will work for your organization, but there are less expensive choices for run of the mill business users."
https://www.pcmag.com/categories/laptops/brands/apple?page=2,Lenovo IdeaPad Yoga 2 Pro Review,4.0,The Lenovo IdeaPad Yoga 2 Pro hybrid ultrabook addresses some of the shortcomings of the previous iteration. But it is still a bit too heavy to replace both a clamshell notebook and a slate tablet.
https://www.pcmag.com/categories/laptops/brands/apple,"Apple MacBook Pro 13-Inch (M1, Late 2020) Review",4.0,"Now powered by Apple’s M1 CPU, the 13-inch MacBook Pro remains a workhorse for those who want a compact macOS laptop that's still powerful enough to perform processor-intensive workflows."
https://www.pcmag.com/categories/laptops/brands/apple,"Apple MacBook Air (M1, Late 2020) Review",4.5,"The M1-equipped MacBook Air now packs far better performance than its predecessors, rivaling at times the M1-based MacBook Pro. At $999, it’s the best value among macOS laptops."
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook Pro 13-Inch (2020) Review,4.0,"A tweaked keyboard and the option for a 10th Generation Intel ""Ice Lake"" CPU bring typing comfort and better performance to Apple's already-excellent 13-inch MacBook Pro."
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook Air (2020) Review,4.0,"If you're a macOS fan who primarily uses a laptop to write and browse the web, the 2020 Apple MacBook Air's redesigned keyboard and lower price make it easy to recommend."
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook Pro 16-Inch Review,4.0,"With a larger display, a beefier graphics chip, and (vitally and finally!) an improved keyboard, Apple's 16-inch MacBook Pro is a beyond-capable big-screen powerhouse built for creatives. "
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook Pro 13-Inch (2019) Review,4.0,"The 13-inch MacBook Pro is Apple's best ultraportable laptop, thanks to stylish looks, an excellent touchpad, and long battery life."
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook Air (2019) Review,3.5,"The 2019 edition of Apple's MacBook Air is cheaper and has a slightly richer feature set than its solid predecessor, making it a decent ultraportable for buyers who won't perform many resource-intensive computing tasks."
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook Pro 15-Inch (2019) Review,4.0,"Thanks in part to its Intel Core i9 CPU option, the sleek 2019 reboot of the 15-inch Apple MacBook Pro we tested is one of the most powerful laptops you can buy for multimedia editing, data analysis, and other similar tasks. We'd just like to see some bolder design moves in the next model."
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook Air (2018) Review,4.0,"Though no speedster, the refreshed MacBook Air finally gets a Retina Display and updated components, making it a sleek ultraportable laptop worthy of its pioneering predecessor's name."
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook Pro 15-Inch (2018) Review,4.5,"With the addition of an Intel Core i9 processor, the sleek 15-inch MacBook Pro is now one of the most powerful desktop-replacement laptops you can buy, making it an excellent choice for well-heeled, on-the-go creative pros."
https://www.pcmag.com/categories/laptops/brands/apple,"Apple MacBook Pro 13-Inch (2018, Touch Bar) Review",4.0,"A pricey but superior tool for creative pros, 2018's Touch Bar version of the 13-inch MacBook Pro brings four-core moxie to Apple's handsome ultraportable, with options for cavernous local storage. "
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook Air (2017) Review,3.5,"The MacBook Air remains an excellent ultraportable choice for students and other macOS fans with basic computing needs, but despite killer battery life, it will disappoint power users with its low-resolution display and outdated processor."
https://www.pcmag.com/categories/laptops/brands/apple,"Apple MacBook Pro 13-Inch (2017, Touch Bar) Review",4.0,"The 13-inch MacBook Pro with Touch Bar gets even better with a processor upgrade, vastly improved battery life, and a slight graphics bump. But the entry-level, non-Touch Bar MacBook Pro is a much better value."
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook Pro 13-Inch (2017) Review,4.0,"The base model MacBook Pro gets an updated processor and a price drop, making it the best choice for Mac shoppers who want a blend of power and relative affordability. "
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook (2017) Review,3.5,"The ever-slim Apple MacBook gets a faster processor and remains a battery life champ, but a persistent dearth of connectivity ports makes it unappealing compared with the similarly priced MacBook Pro and Windows competitors."
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook Pro 15-Inch (2017) Review,4.0,"This year's MacBook Pro is similar to last year's model, adding slight improvements in speed and major battery life improvements to the iconic design. If you're willing to pay the premium, it's the best large-screen Apple laptop yet."
https://www.pcmag.com/categories/laptops/brands/apple,Apple MacBook Pro 15-Inch (2016) Review,4.0,"The top-of-the-line 15-inch MacBook Pro is now slimmer and more capable, and comes equipped with Apple's new Touch Bar. It's a laptop with the speed, storage, and size that traveling power users crave. Just get ready to buy some dongles."
https://www.pcmag.com/categories/laptops/brands/apple,"Apple MacBook Pro 13-Inch (2016, Touch Bar) Review",4.0,"The sleek new Touch Bar adds some genuine innovation to the well-designed and powerful 13-inch MacBook Pro, but as with all new Apple laptops, you'll need to carry lots of adapters or buy all-new peripherals."
