page,item_name,score,review
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Asus Transformer Book T100TA (64GB) Review,4.5,"For a sub-$400 price, the Asus Transformer Book T100TA is a fully functional Windows 8.1 hybrid tablet, and the natural successor to the netbook ideal from a few years ago. It gives you a bright, usable PC an affordable price. Plus it avoids all of the compatibility issues that plague tablets running mobile operating systems like iOS, Android, or Windows RT."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Lenovo IdeaPad Flex 14 Review,3.0,"The Lenovo IdeaPad Flex 14 doesn't have as full a screen swing as of the IdeaPad Yoga family, nor as much of the latter's utility."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Apple MacBook Pro 15-inch (2013) Review,5.0,"With an updated Intel processor and speedier Flash Storage, the MacBook Pro 15-inch (2013) leapfrogs over the competition with workstation-class performance and a nine-hour battery life. It's our new Editors' Choice for high-end desktop replacement laptops."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Sony VAIO Flip 15 (SVF15N190X) Review,3.5,"The Sony VAIO Flip 15 supersizes the convertible laptop, with a large screen that can work in various poses. It's starting to approach the convertible sweet spot, but it needs a few more iterations to become lighter and easier to hold."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Lenovo IdeaPad U430 Touch Review,4.0,"With very few compromises and all-day battery life, the Lenovo IdeaPad U430 Touch is the entry-level ultrabook to get."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Acer Aspire V7-582P-6673 Review,3.5,"The Acer Aspire V7-582P-6673 just meets Intel's updated ultrabook specs, but while it is functionally an ultrabook it is spiritually a desktop replacement laptop with a large 15.6-inch screen."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Asus N550JV-DB72T Review,4.0,"Watching movies on a tablet is well and good, but to get real immersive entertainment, a 15.6-inch laptop with multiple speakers like the Asus N550JV-DB72T is the portable equivalent of a home theater system, plus it also qualifies as a power user system."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Asus VivoBook V500CA-DB71T Review,3.0,"The Asus VivoBook V500CA-DB71T is a decent, tractable laptop with a few flaws that keep it from scoring higher. Depending on your pickiness, this could be a perfectly adequate laptop for you and your family."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Acer Aspire S7-392-6411 Review,4.5,"If you're looking for a svelte laptop to show off, yet still be able to do real work in Windows 8,the Acer Aspire S7-392-6411 is the ultrabook you want at the top of the list. It's the current pinnacle of the ultrabook trend and shows the brilliance that the PC makers can return under Intel's increasingly stringent standards for ultrabooks."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Vizio 15.6-inch Thin + Light Touch (CT15T-B1) Review,3.5,"The Vizio 15.6-inch Thin + Light Touch (CT15T-B1) has long battery life, quad-core power, great design, and speedy, spacious SSD storage. Still, you'll need some hands-on time with this 15-inch laptop before you can decide it's the one for you."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Sony VAIO Pro 13  Review,4.0,"The Sony VAIO Pro 13 shows that you can make laptops lighter and thinner when you use a fourth-generation Intel Core processor. It's very good, though Sony really needs a grand slam to distance itself from similar rivals."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Toshiba Satellite P55-A5200 Review,3.5,"The Toshiba Satellite P55-A5200 is a decent desktop replacement laptop that will keep regular PC users happy. It has the power to last more than the next few years, Windows 8 compatibility, and a huge non-touch screen for your media creation and appreciation."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Asus VivoBook V551LB-DB71T Review,4.0,"The Asus VivoBook V551LB-DB71T desktop replacement laptop is deceptively sleek and slim, offering category leading performance and battery life that will carry you through the day."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Lenovo ThinkPad Helix Review,4.0,"One of the better detachable hybrid tablets on the market, the Lenovo ThinkPad Helix gives the corporate IT buyer a prime option for their highly mobile workforce. This could be the best choice if you need both laptop and tablet functionality."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Asus Transformer Book TX300C Review,3.5,"The Asus Transformer Book TX300C looks great, combining a well-designed laptop with a high-performance tablet, but it has some quirks that can't be ignored."
https://www.pcmag.com/categories/laptops/brands/asus?page=5,Dell Inspiron 15z (I15Z-4801SLV) Review,4.0,"Tipping the scales at the thick and heavy end of the ultrabook specifications, the Dell Inspiron 15z (I15Z-4801SLV) gives you extra features to justify its bulk. It's a good pick for the traditional laptop user who wants a new, fast laptop."
