page,item_name,score,review
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI P65 Creator Review,3.5,"In the speedy, stylish P65 Creator, MSI reskins its GS65 Stealth Thin gaming laptop to appeal to 2D and 3D designers and animators—an audience that would appreciate a greater-than-1080p screen and a roomier SSD."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GF63 8RD Review,3.5,"Inspired by MSI's slick GS65 Stealth Thin, the GF63 8RD is a one-cut-above budget gaming laptop with a trim chassis made possible by Nvidia's Max-Q tech. Only battery life keeps it from top marks."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GE63 Raider RGB Review,3.5,"Esports aficionados with an eye for bling will warm to MSI's GE63 Raider RGB, a gaming laptop that combines powerful components, a 120Hz display, and a heaping helping of pretty lights."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI PS42 (8RB) Review,3.0,"An ultraportable from gaming-PC maker MSI, the PS42 offers mid-level graphics performance in a very slim package, but it suffers from a stodgy design and a tiny touchpad."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GL63 8RC Review,3.0,"A budget-minded 15.6-inch gaming notebook, the MSI GL63 doesn't offer enough 3D performance or pizzazz to stand out from the pack."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GT75 Titan 8RG  Review,4.0,"A monster in every way, the MSI GT75 Titan is an epic gaming machine with a high-refresh-rate screen, a comfy mechanical RGB keyboard, and chart-topping graphics grunt. Our key quibbles: high price and sheer bulk."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GS65 Stealth Thin Review,4.0,"The MSI GS65 Stealth Thin is a slim Max-Q gaming laptop with fast performance, slick looks, and a long battery life. Only the less-than-stellar build quality keeps it from earning our top recommendation."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI WT73VR Review,3.5,"Rocket into the new frontier of virtual-reality content creation with the MSI WT73VR, a 17.3-inch mobile workstation that combines the power, poundage, and price of a spaceship with a VR-ready GPU and, um, excellent speakers. "
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GS63VR 7RG Stealth Pro Review,3.5,"The MSI GS63VR 7RG Stealth Pro with Max-Q delivers fast HD gaming performance while remaining light and compact, but could use a fresh design."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GP62X Leopard Pro Review,3.0,"Despite a crisp display and a slim build, the MSI GP62X Leopard Pro's performance lags behind other midrange gaming laptops."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI WE62 Review,2.5,"MSI's 15.6-inch mobile workstation shows potential, but two omissions—a Thunderbolt 3 port and an IPS screen—send it to the sidelines."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GT83VR Titan SLI Preview,2.0,"The MSI GT83VR Titan SLI is a tour-de-force gaming laptop with all the power and features you'd expect out of a $5k price tag, save one. It really needs a 4K display."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GS73VR 7RF Stealth Pro Review,4.0,"From questionable component choices to flimsy build quality, the MSI GS73VR 7RF Stealth Pro is an ill-conceived and poorly executed gaming laptop, especially for the price."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GT62VR Dominator Pro-005 Review,3.5,"Among the first gaming laptops with Nvidia's Pascal graphics technology, the MSI GT62VR Dominator Pro-005 offers superb performance, along with a ton of storage, and extras like USB-C and a customizable keyboard&mdash;all at a fair price."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GS60 Ghost Pro (002) Review,3.5,"The MSI GS60 Ghost Pro delivers top-notch performance in an under-$2,000 gaming laptop that's pleasingly thin, but subpar battery life means you'll need to stick close to a power source."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GS40 6QE Phantom Review,3.0,"MSI's GS40 6QE Phantom is a solid midrange gaming laptop with the power for 1080p games on high settings, a nice feature set, and a high-quality build for well under $2,000."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GE72 6QD Apache Pro Review,3.5,"The MSI GE72 6QD Apache Pro provides respectable midrange gaming performance without breaking the bank, but there are better values out there if you're not going for a high-end system."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI PE70 2QD-062US Review,4.0,"The PE70 2QD-062US is part of MSI's Prestige series of laptops, which emphasize multimedia performance while maintaining gaming chops. It's a hefty machine ready to take you to victory or to edit the next YouTube sensation."
https://www.pcmag.com/categories/laptops/brands/msi?page=2,MSI GT72 Dominator Pro G-1438 Review,3.5,"The MSI GT72 Dominator Pro G-1438 gaming laptop improves 3D-animation speed and quality with the combo of a fifth-generation Intel Core i7 CPU and Nvidia GeForce GTX 980M graphics with G-Sync. With smooth 3D rendering, it eliminates the glitchy artifacts that could take you out of the game."
https://www.pcmag.com/categories/laptops/brands/msi,MSI GE76 Raider Review,3.5,"The MSI GE76 Raider is a powerful big-screen gaming laptop with all the advanced features you could want, but it's bulky by modern standards, and its mid-level configurations are better values than our top-end test unit."
https://www.pcmag.com/categories/laptops/brands/msi,MSI GS66 Stealth (2021) Review,3.5,"MSI’s GS66 Stealth with RTX ""Ampere"" impresses with its fantastic QHD screen and overall quality, but it trails lesser-priced gaming notebooks in frame-rate performance."
https://www.pcmag.com/categories/laptops/brands/msi,MSI Prestige 14 (2021) Review,3.5,"The MSI Prestige 14 earns big points for being a highly compact, attractive 14-inch ultraportable with a great keyboard, but a few fit-and-finish items and a strident cooling fan keep it from elite status."
https://www.pcmag.com/categories/laptops/brands/msi,MSI Alpha 15 (Late 2020) Review,4.0,The second generation of MSI's all-AMD Alpha 15 gaming laptop delivers much better performance and is still attractively priced.
https://www.pcmag.com/categories/laptops/brands/msi,MSI Summit E15 Preview,3.5,"For gaming-centric MSI, the Summit E15 is a promising push into legit business laptops. This first foray packs a sleek metal design and the connectivity and manageability you need to get work done."
https://www.pcmag.com/categories/laptops/brands/msi,MSI Creator 15 Review,4.0,"MSI’s Creator 15 laptop runs a little hot, but it offers great creative-application performance and long battery life at a fair price."
https://www.pcmag.com/categories/laptops/brands/msi,MSI Bravo 15 Review,4.0,"MSI's all-AMD Bravo 15 is a value-focused gaming notebook that, thanks to a Ryzen 4000 series processor, delivers admirable 1080p frame rates and features for the money."
https://www.pcmag.com/categories/laptops/brands/msi,MSI GE66 Raider Review,3.5,"Its loud cooling fans notwithstanding, the MSI GE66 Raider is one of the best-performing 15-inch gaming laptops money can buy."
https://www.pcmag.com/categories/laptops/brands/msi,MSI GS66 Stealth Review,4.0,"The MSI GS66 Stealth is a well-built and potent high-end gaming laptop, but it has a few shortcomings (especially considering the price of our review configuration) and loses some of the identity of its predecessor."
https://www.pcmag.com/categories/laptops/brands/msi,MSI Prestige 14 Review,4.0,"MSI's vivid pink ultraportable (complete with matching case and mouse) crams a 14-inch screen and six-core Core i7 power into a classy, compact package."
https://www.pcmag.com/categories/laptops/brands/msi,MSI Prestige 15 Review,4.0,"The MSI Prestige 15 is a content creator's laptop that weighs less—and, more important, costs less—than most of its rivals. Definitely worth a look."
https://www.pcmag.com/categories/laptops/brands/msi,MSI Alpha 15 Review,4.0,"MSI's all-AMD Alpha 15 gaming laptop combines a Ryzen 7 processor and Radeon RX 5500M graphics for a tempting, affordable alternative in a market dominated by Intel and Nvidia. It brims with high-end features, though it could use quieter cooling fans."
https://www.pcmag.com/categories/laptops/brands/msi,MSI GL65 9SC Review,4.0,"MSI's 15.6-inch GL65 levels up the entry-level with its bright screen, 512GB SSD, and GeForce GTX 1650 GPU. Packing solid 1080p gaming pep, for the money it's hard to top."
https://www.pcmag.com/categories/laptops/brands/msi,MSI GT76 Titan DT Review,4.0,"Money no object? MSI's GT76 Titan DT gaming laptop is a desktop killer with an unlocked Core i9-9900K CPU and a GeForce RTX 2080 GPU, destined to be enjoyed by the few. It's a solid, if not necessarily better, alternative to Alienware's equally powerful Area-51m."
https://www.pcmag.com/categories/laptops/brands/msi,MSI GE65 Raider Review,4.0,"Thanks to a Core i9 processor and full-fat GeForce RTX graphics, MSI's GE65 Raider is one of the fastest 15.6-inch gaming notebooks you can buy—and it packs a panel with a wildly high refresh rate. Just be prepared to put up with some loud fans."
https://www.pcmag.com/categories/laptops/brands/msi,MSI WS75 Review,4.5,"The MSI WS75 is a big-screen mobile workstation that weighs two and a half pounds less than its rivals, while packing eight-core CPU power and Nvidia's latest professional graphics. The display's just average, but the laptop on the whole is impressive."
https://www.pcmag.com/categories/laptops/brands/msi,MSI GS65 Stealth (2019) Review,3.0,"MSI's GS65 Stealth delivers better-than-60fps gaming performance and a premium, portable build with long battery life. With no real flaws, an appealing price, and power topped only by pricey alternatives, it's our top midrange gaming laptop."
https://www.pcmag.com/categories/laptops/brands/msi,MSI GE75 Raider Review,3.5,"MSI's GE75 Raider slims down and adds performance oomph in this GeForce RTX-based iteration, but this gaming laptop's loud fans and lack of G-Sync reduce its appeal for discerning players."
https://www.pcmag.com/categories/laptops/brands/msi,MSI PS63 Modern Review,4.0,"MSI continues to bolster its business-friendly Prestige line with the PS63 Modern, a svelte 15.6-inch notebook that falls just short of the top rung of desktop replacements."
https://www.pcmag.com/categories/laptops/brands/msi?page=3,MSI GE62 Apache Review,4.0,"The MSI GE62 Apache is a serious gaming laptop for less than $1,500, and it comes with some premium components that help boost its performance."
https://www.pcmag.com/categories/laptops/brands/msi?page=3,MSI GS60 Ghost Pro 3K Review,4.0,"The MSI GS60 Ghost Pro 3K delivers a midrange gaming laptop that brings plenty of bang for the buck, and several small touches that will delight gamers."
https://www.pcmag.com/categories/laptops/brands/msi?page=3,MSI GT70 2PC Dominator Review,4.0,"The MSI GT70 2PC Dominator is a powerful midrange gaming PC, boasting some of the best hardware around, making it our top pick for the category."
https://www.pcmag.com/categories/laptops/brands/msi?page=3,MSI GS70 Stealth (GS70 2OD-002US) Review,4.0,"The MSI GS70 Stealth (GS70 2OD-002US) is a solid ultraportable gaming laptop, but even with good performance and battery life, it's a close race with the competition."
https://www.pcmag.com/categories/laptops/brands/msi?page=3,iBuypower Battalion Ultra-Thin M1771 Review,4.0,"The iBuypower Battalion Ultra-Thin M1771 is a large-screen, power user's laptop. It is capable of multimedia creation, as well as 3D Gaming. It's the portable equivalent to the high end multimedia dream machines we used to price out at over $3,000 ten years ago."
https://www.pcmag.com/categories/laptops/brands/msi?page=3,MSI GE40 2OC-009US Review,4.0,"The MSI GE40 2OC-009US is a gaming ultrabook that delivers solid performance on the go, with a low price and a few flaws that can be overlooked."
https://www.pcmag.com/categories/laptops/brands/msi?page=3,MSI GX70 3Be-007US  Review,4.0,"The MSI GX70 3Be-007US gaming laptop provides playable 3D gaming, even at full HD resolution and with all the eye candy, for a modest price."
https://www.pcmag.com/categories/laptops/brands/msi?page=3,iBuyPower Valkyrie CZ-17 Review,3.5,"The iBuypower Valkyrie CZ-17 laptop is a multimedia powerhouse with some gaming prowess. It's good, but not necessarily the best at this price point."
https://www.pcmag.com/categories/laptops/brands/msi?page=3,MSI GX60 1AC-021US Review,4.0,"When you're faced with a choice of overall performance vs. gaming performance on a budget, the MSI GX60 1AC-021US is a great entry-level system for the gamer on a budget."
https://www.pcmag.com/categories/laptops/brands/msi?page=3,MSI GT70 One-609US Dragon Edition Review,4.0,"The MSI GT70 One-609US Dragon Edition offers everything you might want, including quad-core processing, Nvidia graphics, and networking designed with online gaming in mind, at a price that isn't too astronomical."
